VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.0,2019-10-01 07:28:44,2019-10-01 07:36:41,N,1.0,192,135,1.0,1.8,8.0,0.0,0.5,1.75,0.0,,0.3,10.55,1.0,1.0,0.0
1.0,2019-10-01 07:28:04,2019-10-01 07:54:31,N,1.0,89,155,1.0,3.7,18.0,0.0,0.5,0.0,0.0,,0.3,18.8,1.0,1.0,0.0
2.0,2019-10-01 07:19:43,2019-10-01 07:36:21,N,1.0,7,140,1.0,2.99,12.5,0.0,0.5,3.21,0.0,,0.3,19.26,1.0,1.0,2.75
2.0,2019-10-01 07:57:57,2019-10-01 08:05:58,N,1.0,74,42,2.0,1.76,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,1.0,1.0,0.0
2.0,2019-10-01 08:00:10,2019-10-01 08:19:00,N,1.0,66,107,1.0,3.82,15.5,0.0,0.5,3.81,0.0,,0.3,24.81,1.0,1.0,2.75
1.0,2019-10-01 07:41:28,2019-10-01 08:12:54,N,1.0,252,226,1.0,0.0,28.2,0.0,0.5,0.0,0.0,,0.3,29.0,1.0,1.0,0.0
1.0,2019-10-01 07:57:52,2019-10-01 08:05:32,N,1.0,210,123,1.0,1.5,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2019-10-01 07:06:07,2019-10-01 07:13:26,N,1.0,74,75,3.0,1.41,7.0,0.0,0.5,2.34,0.0,,0.3,10.14,1.0,1.0,0.0
2.0,2019-10-01 07:33:05,2019-10-01 07:46:58,N,1.0,74,166,3.0,1.92,11.0,0.0,0.5,2.0,0.0,,0.3,13.8,1.0,1.0,0.0
2.0,2019-10-01 07:56:00,2019-10-01 08:04:00,N,1.0,7,7,1.0,0.96,7.0,0.0,0.5,2.34,0.0,,0.3,10.14,1.0,1.0,0.0
2.0,2019-10-01 07:23:58,2019-10-01 07:37:38,N,1.0,62,61,5.0,1.95,10.5,0.0,0.5,0.0,0.0,,0.3,11.3,1.0,1.0,0.0
2.0,2019-10-01 07:41:41,2019-10-01 07:43:50,N,5.0,7,7,1.0,0.0,12.0,0.0,0.0,2.4,0.0,,0.0,14.4,1.0,2.0,0.0
1.0,2019-10-01 07:55:56,2019-10-01 08:21:05,N,1.0,255,224,1.0,4.2,19.0,2.75,0.5,3.38,0.0,,0.3,25.93,1.0,1.0,2.75
2.0,2019-10-01 07:27:34,2019-10-01 07:37:27,N,1.0,241,174,1.0,1.82,9.0,0.0,0.5,0.0,0.0,,0.3,9.8,1.0,1.0,0.0
2.0,2019-10-01 07:53:44,2019-10-01 07:55:43,N,1.0,42,41,4.0,0.35,3.5,0.0,0.5,1.08,0.0,,0.3,5.38,1.0,1.0,0.0
2.0,2019-10-01 07:19:07,2019-10-01 07:27:59,N,1.0,236,263,1.0,1.28,8.0,0.0,0.5,2.0,0.0,,0.3,13.55,1.0,1.0,2.75
2.0,2019-10-01 07:43:16,2019-10-01 07:49:12,N,1.0,74,74,1.0,0.96,6.0,0.0,0.5,1.36,0.0,,0.3,8.16,1.0,1.0,0.0
2.0,2019-10-01 08:03:13,2019-10-01 08:13:15,N,1.0,74,152,1.0,1.6,8.5,0.0,0.5,0.0,0.0,,0.3,9.3,2.0,1.0,0.0
2.0,2019-10-01 07:39:40,2019-10-01 07:44:38,N,1.0,244,244,1.0,0.55,5.0,0.0,0.5,0.0,0.0,,0.3,5.8,2.0,1.0,0.0
2.0,2019-10-01 08:06:39,2019-10-01 08:16:13,N,1.0,244,244,1.0,0.75,7.0,0.0,0.5,0.0,0.0,,0.3,7.8,1.0,1.0,0.0
2.0,2019-10-01 06:41:56,2019-10-01 06:50:22,N,1.0,74,75,1.0,1.23,7.5,0.0,0.5,0.0,0.0,,0.3,8.3,2.0,1.0,0.0
2.0,2019-10-01 07:40:11,2019-10-01 07:42:28,N,1.0,75,41,1.0,0.57,4.0,0.0,0.5,0.96,0.0,,0.3,5.76,1.0,1.0,0.0
2.0,2019-10-01 07:36:17,2019-10-01 07:52:02,N,1.0,74,140,1.0,3.64,13.5,0.0,0.5,0.0,0.0,,0.3,17.05,2.0,1.0,2.75
2.0,2019-10-01 07:48:39,2019-10-01 08:16:19,N,1.0,75,161,1.0,3.32,18.5,0.0,0.5,4.41,0.0,,0.3,26.46,1.0,1.0,2.75
